timestamp_task;participant_ID;task_ID;event
35097;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
35808;G19;2;Pop-up in map: savany a suche stepi
37597;G19;2;Pop-up in map: savany a suche stepi
38190;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
38465;G19;2;Pop-up in map: savany a suche stepi
40145;G19;2;Pop-up in map: tropicke destne lesy
40850;G19;2;Pop-up in map: savany a suche stepi
41485;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
43262;G19;2;Pop-up in map: tropicke destne lesy
43638;G19;2;Pop-up in map: lesostepi a stepi
48746;G19;2;Pop-up in map: savany a suche stepi
49146;G19;2;Pop-up in map: lesostepi a stepi
49446;G19;2;Pop-up in map: pouste a polopouste
49736;G19;2;Pop-up in map: savany a suche stepi
50301;G19;2;Pop-up in map: lesostepi a stepi
50845;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
52273;G19;2;Pop-up in map: tropicke destne lesy
53015;G19;2;Pop-up in map: tropicke destne lesy
53421;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
53836;G19;2;Pop-up in map: savany a suche stepi
54535;G19;2;Pop-up in map: pouste a polopouste
55735;G19;2;Pop-up in map: savany a suche stepi
56390;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
56650;G19;2;Pop-up in map: savany a suche stepi
56863;G19;2;Pop-up in map: pouste a polopouste
58250;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
59105;G19;2;Pop-up in map: tropicke destne lesy
61866;G19;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
65048;G19;2;Pop-up in map: savany a suche stepi
66381;G19;2;Pop-up in map: pouste a polopouste
68161;G19;2;Pop-up in map: savany a suche stepi
7958;G21;2;Pop-up in map: tropicke destne lesy
12777;G21;2;Hover in legend: trvale zalednene oblasti
13470;G21;2;Hover in legend: tropicke a subtropicke lesy (suche a vlhke)
13802;G21;2;Hover in legend: savany a suche stepi
14110;G21;2;Hover in legend: listnate, jehlicnate a smisene lesy mirneho pasu
14517;G21;2;Hover in legend: subtropicke lesy (suche i vlhke)
14795;G21;2;Hover in legend: listnate, jehlicnate a smisene lesy mirneho pasu
15607;G21;2;Hover in legend: tajga
15998;G21;2;Hover in legend: listnate, jehlicnate a smisene lesy mirneho pasu
16291;G21;2;Hover in legend: vegetace stredomorskeho typu
16558;G21;2;Hover in legend: pouste a polopouste
16975;G21;2;Hover in legend: tropicke a subtropicke lesy (suche a vlhke)
17405;G21;2;Hover in legend: vegetace mocalu a bazin
17728;G21;2;Hover in legend: tropicke destne lesy
18263;G21;2;Hover in legend: tropicke a subtropicke lesy (suche a vlhke)
18700;G21;2;Hover in legend: subtropicke lesy (suche i vlhke)
19616;G21;2;Hover in legend: savany a suche stepi
20188;G21;2;Hover in legend: pouste a polopouste
22526;G21;2;Pop-up in map: pouste a polopouste
26778;G21;2;Pop-up in map: pouste a polopouste
28635;G21;2;Pop-up in map: pouste a polopouste
31858;G21;2;Pop-up in map: pouste a polopouste
32828;G21;2;Pop-up in map: savany a suche stepi
34653;G21;2;Pop-up in map: pouste a polopouste
34975;G21;2;Pop-up in map: savany a suche stepi
39256;G21;2;Pop-up in map: tropicke destne lesy
39596;G21;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
41376;G21;2;Pop-up in map: tropicke destne lesy
43375;G21;2;Pop-up in map: tropicke destne lesy
46483;G21;2;Pop-up in map: tropicke destne lesy
48513;G21;2;Pop-up in map: savany a suche stepi
52904;G21;2;Pop-up in map: savany a suche stepi
53493;G21;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
55544;G21;2;Pop-up in map: vegetace stredomorskeho typu
59326;G21;2;Pop-up in map: pouste a polopouste
59706;G21;2;Pop-up in map: vegetace stredomorskeho typu
60228;G21;2;Pop-up in map: pouste a polopouste
61101;G21;2;Pop-up in map: savany a suche stepi
61509;G21;2;Pop-up in map: pouste a polopouste
62029;G21;2;Pop-up in map: vegetace stredomorskeho typu
63766;G21;2;Pop-up in map: vegetace stredomorskeho typu
64661;G21;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
65293;G21;2;Pop-up in map: savany a suche stepi
33037;G21;4;Zlato (click)
14335;U01;2;Hover in legend: alpinska a vysokohorska vegetace
15158;U01;2;Hover in legend: pouste a polopouste
24201;U01;2;Hover in legend: savany a suche stepi
31576;U01;2;Hover in legend: tropicke destne lesy
40322;U01;4;Zlato (hover - start)
55142;U01;4;Zlato (hover - end)
5376;U02;2;Pop-up in map: savany a suche stepi
6059;U02;2;Pop-up in map: pouste a polopouste
11441;U02;2;Pop-up in map: savany a suche stepi
13216;U02;2;Pop-up in map: savany a suche stepi
16399;U02;2;Pop-up in map: tropicke destne lesy
20281;U02;2;Pop-up in map: savany a suche stepi
21696;U02;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
22329;U02;2;Pop-up in map: tropicke destne lesy
22553;U02;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
22766;U02;2;Pop-up in map: tropicke destne lesy
25456;U02;2;Pop-up in map: tropicke destne lesy
25719;U02;2;Pop-up in map: savany a suche stepi
26273;U02;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
26806;U02;2;Pop-up in map: savany a suche stepi
28858;U02;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
29626;U02;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
30176;U02;2;Pop-up in map: savany a suche stepi
30463;U02;2;Pop-up in map: pouste a polopouste
30968;U02;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
31801;U02;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
60128;U02;4;Zlato (hover - start)
60881;U02;4;Zlato (click)
60881;U02;4;Zlato (hover - end)
27393;U03;4;Zlato (hover - start)
29958;U03;4;Zlato (hover - end)
32130;U03;4;Zlato (hover - start)
34076;U03;4;Zlato (hover - end)
39488;U03;4;Zlato (hover - start)
41248;U03;4;Zlato (hover - end)
49473;U03;4;Zlato (hover - start)
50066;U03;4;Zlato (hover - end)
52066;U03;4;Zlato (hover - start)
53171;U03;4;Zlato (hover - end)
59743;U03;4;Zlato (hover - start)
59993;U03;4;Zlato (hover - end)
